VESSEL,OPERATOR,CONTACT,WORK#,CELL#,EMAIL,NOTES,,
M/Y Grey Horizon 46',,Cell: 555-0103,,,,,,
OSV Blue Harbor 40',Harbor Institute,,,,,,,
R/V High Drift 120',Coastal Survey Partners,Parker Underhill,Cell: 555-0134,Cell: 555-0173,rowan.oakes@example.com,,,
,Cell: 555-0103,Cell: 555-0155,,,,,,
Cell: 555-0198,Capt. Cameron Underhill,Capt. Drew Garland,Cell: 555-0120,skyler.sterling@example.com,cameron.kendrick@example.com,,,
,Cell: 555-0149,,,,,,,
,kai.fairweather@example.com,,,,,,,
,,,,,,,,
R/V Iron Skua 72',Harbor Institute,Casey Ellery,Cell: 555-0174,Cell: 555-0119,,,,
,Cell: 555-0124,,,,drew.ashford@example.com,,,
,,,,,Cell: 555-0120,,,
R/V Bright Dory 52',Harbor Institute,Avery Ellery,Cell: 555-0184,Cell: 555-0113,,,,
R/V Wild Marlin 32',Seaway Education Trust,,Cell: 555-0192,,,,,
,,,Cell: 555-0144,,,,,
M/V High Strand 145',Gulf Coast University,Avery Corwin,,Cell: 555-0195,blake.ingram@example.com,,,
,Cell: 555-0193,Jesse Marsh,,Cell: 555-0163,rowan.hollis@example.com,,,
S/V Wild Drift 24',Coastal Survey Partners,Jordan Pembroke,Cell: 555-0144,,,See scheduling file for specs,,
Cell: 555-0101,,Capt. Riley Oakes,Cell: 555-0195,jordan.marsh@example.com,,,,
,,Avery Everly,Cell: 555-0178,,rowan.ransom@example.com,Approved by operations,,
,,Capt. Hayden Sterling,Cell: 555-0174,logan.fairweather@example.com,,Capt. Rowan Ransom,,
,,,,,,,,
M/V Northern Ketch 120',Gulf Coast University,Drew Calloway,Cell: 555-0191,Cell: 555-0122,kendall.calloway@example.com,Pending insurance paperwork,,
,,,,,,,,
M/V CORAL DRIFT 100',Capt. Alex Bexley,Quinn Quill,Cell: 555-0177,,quinn.bexley@example.com,Short visit only,,
F/V Bright Heron 32',Northwind Offshore,,,,,,,
R/V Green Meridian 32',,Taylor Danforth,,,,,,
Tug Long Skua 170',,Capt. Blake Fenwick,,,,,,
M/Y Iron Gannet 170',,Sage Sterling,,,,,,
F/V Bright Horizon 170',,Jesse Dunmore,,,,,,
Cell: 555-0106,,Cell: 555-0123,,,,,,
Cell: 555-0153,,Cell: 555-0126,,,,,,
R/V High Sound 32',"LOA: 65', Draft: 4'",marley.garland@example.com,,,,,,
,,,,,,,,
