Tours are now tracked in a separate workbook; this tab is kept for reference.,,,,,,
Tours are now tracked in a separate workbook; this tab is kept for reference.,,,,,,
Date,Time,Guide,Guest,People,Dock/ Ship,Notes
43219,1530,Avery,Finley Ingram (Regional Fisheries Agency),6,R/V Silver Tern,Confirmed by marine ops
43219,1400,Jesse,Morgan Ransom (Regional Fisheries Agency),4,R/V Northern Gannet,Pending insurance paperwork
43219,1100,Hayden,Marley Ashford (Bayline Charters),11,R/V Blue Heron,Approved by operations
43222,1600,Kendall,Jesse Corwin (Open Water Sailing School),10,R/V Northern Gannet,Approved by operations
43222,tbd,Riley,Hayden Quill (Regional Fisheries Agency),9,R/V Blue Heron,Confirmed by marine ops
43224,1015,Sage,Taylor Quill (Regional Fisheries Agency),~17,R/V Northern Gannet,Requires shore power
43225,tbd,Jamie,Dana Vance (Gulf Coast University),3,R/V Silver Tern,Approved by operations
43225,1530,Logan,Sage Hollis (Northwind Offshore),6,R/V Silver Tern,See scheduling file for specs
43225,1130,Rowan,Avery Lowell (Regional Fisheries Agency),7,R/V Blue Heron,Approved by operations
43227,1100,Reese,Logan Danforth (State Marine Academy),~13,R/V Blue Heron,Pending insurance paperwork
43229,tbd,Blake,Jordan Jarvis (Lakeshore Research Group),16,R/V Silver Tern,Will raft alongside if needed
43234,930,Taylor,Drew Jarvis (Seaway Education Trust),~23,R/V Blue Heron,Will raft alongside if needed
43235,1000,Riley,Hayden Ransom (State Marine Academy),~15,R/V Silver Tern,Requires shore power
43239,1175,Alex,Taylor Ransom (Estuary Foundation),15,R/V Silver Tern,Requires shore power
Requires shore power,,,,,,
43241,tbd,Kendall,Kai Norwood (Lakeshore Research Group),~30,R/V Silver Tern,Pending insurance paperwork
43241,tbd,Alex,Jamie Ransom (State Marine Academy),17,R/V Blue Heron,Contact captain on arrival
43242,tbd,Finley,Lee Ingram (Tidewater Marine Services),~13,R/V Blue Heron,Confirmed by marine ops
43242,1330,Blake,Parker Norwood (Lakeshore Research Group),17,R/V Northern Gannet,See scheduling file for specs
43242,1330,Morgan,Finley Abbott (Lakeshore Research Group),5,R/V Northern Gannet,
43247,1175,Skyler,Kendall Quill (Bayline Charters),~22,R/V Blue Heron,Pending insurance paperwork
43248,tbd,Parker,Emerson Underhill (Bayline Charters),19,R/V Northern Gannet,Short visit only
43252,1030,Elliot,Elliot Bramble (State Marine Academy),4,R/V Blue Heron,Requires shore power
43253,1100,Cameron,Alex Fenwick (Gulf Coast University),18,R/V Northern Gannet,Approved by operations
43255,1115,Harper,Jordan Quill (Coastal Survey Partners),5,R/V Blue Heron,Pending insurance paperwork
43255,1600,Finley,Cameron Ellery (Open Water Sailing School),6,R/V Northern Gannet,
43257,900,Finley,Noel Yardley (Harbor Institute),5,R/V Blue Heron,
43262,1000,Cameron,Skyler Yardley (Coastal Survey Partners),~25,R/V Blue Heron,Approved by operations
,,,,,,
,,,,,,
43279,tbd,Jordan,Hayden Pembroke (Seaway Education Trust),54,R/V Northern Gannet,
43280,tbd,Morgan,Skyler Norwood (Gulf Coast University),5,R/V Northern Gannet,Confirmed by marine ops
43282,1430,Reese,Alex Garland (Bayline Charters),15,R/V Silver Tern,See scheduling file for specs
,,,,,,
,,,,,,
43305,tbd,Quinn,Marley Quill (Gulf Coast University),1,R/V Northern Gannet,Short visit only
43305,1430,Kai,Sage Calloway (Estuary Foundation),4,R/V Northern Gannet,Requires shore power
Tours are now tracked in a separate workbook; this tab is kept for reference.,,,,,,
Tours are now tracked in a separate workbook; this tab is kept for reference.,,,,,,
