M/Y Western Strand 52',"LOA: 65', Draft: 4'",Rowan Thorne,Will raft alongside if needed,,,,
Capt. Logan Ashford,Gulf Coast University,,Short visit only,,,,
alex.ashford@example.com,,,,,,,
Cell: 555-0178,,,,,,,
,,,,,,,
"LOA: 145', Draft: 12'",,,,,,,
Capt. Jesse Thorne,,,,,,,
logan.fairweather@example.com,,,,,,,
Cell: 555-0179,,,,,,,
,,,,,,,
M/Y Long Dory 52',Harbor Institute,Capt. Dana Everly,Cell: 555-0102,Cell: 555-0156,riley.quill@example.com,blake.ashford@example.com,https://www.example.org/vessel
,,Capt. Dana Bexley,,,,,
S/Y High Gannet 100',Capt. Jamie Everly,Capt. Parker Norwood,elliot.dunmore@example.com,Cell: 555-0101,,,
,,,,,,,
M/V Deep Sextant 24',Regional Fisheries Agency,Capt. Lee Thorne,harper.kendrick@example.com,Cell: 555-0159,,,
,,,,,,,
M/V Western Petrel 46',Coastal Survey Partners,Capt. Reese Fairweather,jamie.vance@example.com,Cell: 555-0166,,Short visit only,
,,,,,,,
M/Y Grey Heron 52',,Capt. Riley Thorne,Cell: 555-0165,Capt. Cameron Pembroke,lee.ashford@example.com,Short visit only,
,,,,,,,
M/Y Wild Tern 145',Bayline Charters,,,lee.abbott@example.com,reese.jarvis@example.com,,
,,,,,,,
M/Y Wild Meridian 72',Capt. Taylor Dunmore,Jesse Corwin,riley.lowell@example.com,blake.everly@example.com,blake.ashford@example.com,,
,,,,,,,
M/Y Swift Kestrel 52',Open Water Sailing School,marley.kendrick@example.com,,,,,
,,,,,,,
M/Y Coral Osprey 170',Capt. Reese Yardley,taylor.garland@example.com,,,,,
,,,,,,,
S/V Amber Star 32',Cell: 555-0137,logan.vance@example.com,,,,,
,,,,,,,
M/Y Salt Gannet 145',Capt. Cameron Ingram,Cell: 555-0118,harper.fenwick@example.com,,,,
,,,,,,,
M/Y Northern Cove 32',Capt. Avery Quill,Cell: 555-0168,hayden.ellery@example.com,,,,
,,,,,,,
M/Y Swift Dory 85',Capt. Sage Danforth,,,,,,
,,,,,,,
M/Y Iron Petrel 120',Gulf Coast University,rowan.fairweather@example.com,,See scheduling file for specs,,,
,Cell: 555-0162,,,,,,
S/Y Deep Cove 145',Capt. Drew Quill,Capt. Finley Pembroke,See scheduling file for specs,,,,
,State Marine Academy,jesse.yardley@example.com,Capt. Drew Ellery,,,,
,Cell: 555-0109,,kendall.underhill@example.com,,,,
,,,Cell: 555-0188,,,,
,,,,,,,
M/Y Western Current 85',Capt. Logan Ellery,reese.bexley@example.com,emerson.ellery@example.com,,,,
Capt. Casey Whitlock,sage.danforth@example.com,Cell: 555-0144,Cell: 555-0139,,Capt. Casey Abbott,,
,,,,,,,
M/Y Swift Petrel 100',Capt. Kai Bramble,Capt. Elliot Calloway,,dana.jarvis@example.com,,Cell: 555-0186,
,,Elliot Norwood,,,,,
M/Y Far Horizon 170',Cell: 555-0138,,Capt. Jesse Quill,morgan.dunmore@example.com,,,
,,,,,,,
S/V Northern Meridian 85',Capt. Emerson Pembroke,Cell: 555-0194,,hayden.thorne@example.com,,Tentative - awaiting confirmation,
,,,,,,,
M/V Long Drift 52',Capt. Taylor Dunmore,Cell: 555-0182,,harper.pembroke@example.com,,Confirmed by marine ops,
,,,,,,,
M/V Quiet Tern 145',Harbor Institute,,,Cell: 555-0130,sage.kendrick@example.com,,See scheduling file for specs
,,,,,,,
M/Y Clear Star 120',kai.vance@example.com,Capt. Drew Fenwick,,drew.lowell@example.com,,See scheduling file for specs,
,State Marine Academy,,,,,See scheduling file for specs,
M/Y Salt Dory 85',Capt. Parker Norwood,,,,,,
,Cell: 555-0141,,,,,,
,Cell: 555-0184,,,,,,
